X,Y,Shape_Leng,Shape_Area,INSIDE_X,INSIDE_Y,ID,SC,CC,TDS,Sl,DD,LD,Lf,STC,LULC,NDVI,RF,GEOL,HU,GP,SC1,CC1,TDS1,Sl1,DD1,Lf1,STC1,LULC1,Geol1
844664.6972,1708753.0004,4000,1000000,844664.6972,1708753.0004,48,2.52142,3983.85,2535.6,0.781036,1.71608,0,34,9,5,0.283981,202.684,4,1,2,0.773041381117,5.63514620536,1.96028179475,-0.238194999291,0.619984694866,9.66190378969,96.8,3.61855512512,204.6
885664.6972,1708753.0004,4000,1000000,885664.6972,1708753.0004,49,9.79384,21653.7,3719.95,0.180689,0.235714,0,36.2438,7,5,0.218452,191.999,4,1.75,1,1.49640428231,6.31492110696,1.96720848762,-1.33826275219,-1.02899226894,10.0405649563,51.4567256969,3.61855512512,204.6
848664.6972,1688753.0004,4000,1000000,848664.6972,1688753.0004,50,2.12017,2134.55,2642.6,0.128849,2.40598,0,34,7,5,0.172067,192.355,4,1,1,0.649062624456,5.35410526185,1.96109420695,-1.53071800087,1.10224441988,9.66190378969,51.4567256969,3.61855512512,204.6
826664.6972,1684753.0004,4000,1000000,826664.6972,1684753.0004,52,0.785273,902.265,800.689,0.133507,1.41758,0,24,9,11,0.278092,204.538,4,1,1,-0.253795837177,4.93631608664,1.92931975315,-1.51141059995,0.381243379839,7.79795897113,96.8,8.5052531824,204.6
846664.6972,1689753.0004,4000,1000000,846664.6972,1689753.0004,53,1.61916,1716.01,2074.61,0.735036,1.55456,0,34,6.09001,7,0.243841,193.321,4,1,1,0.438306526677,5.2515921059,1.95609017048,-0.294049002411,0.493639866589,9.66190378969,36.2104473256,5.2913319755,204.6
863664.6972,1693753.0004,4000,1000000,863664.6972,1693753.0004,54,2.68633,2654.59,4195.25,0.0888623,2.28973,0,40.6842,7,5,0.0850785,191.033,4,1,1,0.816255234291,5.45430541439,1.96912186422,-1.72085454588,1.0263708114,10.7568335079,51.4567256969,3.61855512512,204.6
862664.6972,1707753.0004,4000,1000000,862664.6972,1707753.0004,55,1.31146,1567.88,1227.08,0.252645,2.74997,0,24,6.14697,7,0.287361,199.255,4,1,3,0.25695499908,5.20853061211,1.94290559326,-1.1271990159,1.31660667506,7.79795897113,37.0725017961,5.2913319755,204.6
851664.6972,1680753.0004,4000,1000000,851664.6972,1680753.0004,56,2.50376,2515.05,3578.93,0.476725,1.26387,0,35.5049,4,5,0.206085,192.352,4,1.75,1,0.768179313246,5.42969338914,1.96656868976,-0.664268477935,0.248439459571,9.91719797368,12.4,3.61855512512,204.6
832664.6972,1682753.0004,4000,1000000,832664.6972,1682753.0004,57,0.732884,854.824,825.464,0.624703,1.73792,0,24,9,7,0.323382,202.335,3.5,1,1,-0.33090903762,4.90889175877,1.93038851001,-0.438784901122,0.636603910983,7.79795897113,96.8,5.2913319755,104.84375
848664.6972,1692753.0004,4000,1000000,848664.6972,1692753.0004,58,1.46185,1592.72,1912.59,0.325133,1.77382,0,24,9,5,0.147078,193.81,4,1,1,0.352273982301,5.21605632822,1.95426811958,-0.953771146588,0.663696711422,7.79795897113,96.8,3.61855512512,204.6
848664.6972,1715753.0004,4000,1000000,848664.6972,1715753.0004,59,1.45721,2082.01,1313.39,0.547716,2.15785,0,34,6,5,0.148251,205.338,2,1,1,0.34954104327,5.34251227805,1.94481346325,-0.550767944952,0.93792445586,9.66190378969,34.8726522961,3.61855512512,6.2
859664.6972,1688753.0004,4000,1000000,859664.6972,1688753.0004,60,7.4382,7435.04,14170.5,0.265385,1.65192,0,24,4,7,0.196897,189.22,4,1,1,1.37965219374,5.8991709172,1.98319891193,-1.09439744459,0.570540768769,7.79795897113,12.4,5.2913319755,204.6
835859.641325127,1675830.45614933,3272.77762575,517857.268189,835776.346656,1675948.35048,61,1.10717,1241.17,1626.45,0.637877,0.212605,0,41,4,5,0.160698,198.422,4,1,1,0.0997621107578,5.09525004943,1.95040822605,-0.420606037982,-1.07781780641,10.8062484749,12.4,3.61855512512,204.6
849664.6972,1673753.0004,4000,1000000,849664.6972,1673753.0004,62,1.28275,1417.48,2908.66,0.689898,0.789551,0,39.1332,6,5,0.273212,187.942,2.5,1,1,0.237007065945,5.15996717971,1.96291626039,-0.351288189747,-0.222866330668,10.5113071418,34.8726522961,3.61855512512,19.33125
816518.490149762,1687620.72380085,3183.06973856,434738.564876,816590.091712,1687485.88704,63,0.819051,926.401,707.268,0.35642,0.748804,0,34,7,5,0.231126,204.48,3,1,1,-0.207794020821,4.94966602753,1.92479651105,-0.887271851658,-0.269330796255,9.66190378969,51.4567256969,3.61855512512,48.4
824664.6972,1679753.0004,4000,1000000,824664.6972,1679753.0004,64,0.790113,905.362,782.291,0.623906,2.12309,0,35.8668,9,5,0.207096,205.099,3,1,1,-0.247035879117,4.93805090042,1.9284934501,-0.439893224517,0.914165423419,9.97777915991,96.8,3.61855512512,48.4
854664.6972,1713753.0004,4000,1000000,854664.6972,1713753.0004,66,1.28427,1634.49,1211.13,0.959589,1.65567,0,41,6,5,0.262995,203.208,2,1,1,0.238078820795,5.22842479146,1.94253087115,-0.0409960191632,0.57345685552,10.8062484749,34.8726522961,3.61855512512,6.2
857664.6972,1700753.0004,4000,1000000,857664.6972,1700753.0004,67,0.989981,431.869,1040.22,0.373567,1.45334,0,34,9,5,0.214086,195.095,4,1,1,-0.0100898386963,4.5491428823,1.93798919032,-0.852547395231,0.41109108377,9.66190378969,96.8,3.61855512512,204.6
814664.6972,1679753.0004,4000,1000000,814664.6972,1679753.0004,68,0.81822,925.008,758.826,1.0208,1.45058,0,24,7,7,0.260263,209.366,3,1,1,-0.208893731455,4.94890599309,1.92739627596,0.0206503306532,0.408800532113,7.79795897113,51.4567256969,5.2913319755,48.4
816664.6972,1685753.0004,4000,1000000,816664.6972,1685753.0004,69,0.827194,933.242,730.507,0.897132,1.04241,0,34,6.85303,5,0.352742,204.921,3,1,1,-0.197100090344,4.95338037498,1.92600237192,-0.106803785241,0.0419696531142,9.66190378969,48.7775180285,3.61855512512,48.4
846664.6972,1700753.0004,4000,1000000,846664.6972,1700753.0004,70,0.892116,1087.69,1115.46,0.792946,0.548899,0,41,6,5,0.226004,197.009,2,1,1,-0.116805689111,5.03007896155,1.94011707539,-0.224110660585,-0.518245641245,10.8062484749,34.8726522961,3.61855512512,6.2
849664.6972,1699753.0004,4000,1000000,849664.6972,1699753.0004,71,0.675132,756.064,751.089,0.457357,0.773877,0,24,6.50447,5,0.246157,196.117,2,1,1,-0.425395152422,4.84600322397,1.92702328702,-0.697273028101,-0.240594390539,7.79795897113,42.760826975,3.61855512512,6.2
861598.01152499,1683714.52375021,3756.92635162,855895.356864,861595.777617,1683728.46898,73,4.14954,4141.79,7041.04,0.172744,0.870265,0,34,7,5,0.210178,185.679,4,1,1,1.08505346908,5.65208352976,1.9761651958,-1.36499549475,-0.134240093668,9.66190378969,51.4567256969,3.61855512512,204.6
808936.587900001,1682856.69569994,2985.51805297,461717.580418,808933.638164,1682757.77838,74,0.835733,945.629,768.342,0.787253,0.034337,0,24,6,5,0.26243,205.895,3,1,1,-0.186043173568,4.96003035854,1.92784727888,-0.230824360256,-1.62939509416,7.79795897113,34.8726522961,3.61855512512,48.4
853664.6972,1670753.0004,4000,1000000,853664.6972,1670753.0004,75,2.47686,3424.01,5900.24,0.340543,1.88766,0,40.8284,7,5,0.25395,181.527,4,1,1,0.760680277304,5.56854342968,1.97396274789,-0.920483281179,0.747842809587,10.7794209037,51.4567256969,3.61855512512,204.6
856664.6972,1708753.0004,4000,1000000,856664.6972,1708753.0004,76,1.34694,1665.05,1270.46,0.446088,1.75112,0,24,7,5,0.286816,200.657,4,1,1,0.280778233892,5.23725564696,1.94388880676,-0.716928736684,0.646597794358,7.79795897113,51.4567256969,3.61855512512,204.6
854664.6972,1667753.0004,4000,1000000,854664.6972,1667753.0004,77,2.27775,2911.05,4983.56,0.296555,0.513267,0,26.6668,4,5,0.2184,176.788,4,2,1,0.701387590963,5.49603473248,1.97166911459,-1.01855011063,-0.567146929168,8.32798132169,12.4,3.61855512512,204.6
839664.6972,1693753.0004,4000,1000000,839664.6972,1693753.0004,78,0.838821,1059.27,1046,0.836088,0.818821,0,29.4951,9,5.71951,0.21016,196.198,2,1,1,-0.182083485856,5.01690310567,1.93816075859,-0.174299024378,-0.190225414065,8.86187829454,96.8,4.22691184589,6.2
821664.6972,1685532.72135,3706.02528533,870308.594634,821709.960857,1685700.37519,79,0.818888,937.338,782.697,0.640094,0.198645,0,34,9,5,0.196977,204.717,3,1,1,-0.208009627696,4.95559001082,1.92851199868,-0.417572697009,-1.10860784009,9.66190378969,96.8,3.61855512512,48.4
857664.6972,1709753.0004,4000,1000000,857664.6972,1709753.0004,80,1.58714,2015.74,1389.7,1.02698,1.05454,0,24,7,5,0.381725,200.918,3,1,1,0.421768526007,5.32742211873,1.9463500311,0.0267290951109,0.0538159977065,7.79795897113,51.4567256969,3.61855512512,48.4
877664.6972,1706753.0004,4000,1000000,877664.6972,1706753.0004,81,8.8835,19407.9,3543.8,1.4478,1.08856,0,24,9,5,0.292196,193.816,4,1,1,1.45646657566,6.27434921813,1.9664033952,0.391366852353,0.0866815618688,7.79795897113,96.8,3.61855512512,204.6
846664.6972,1677753.0004,4000,1000000,846664.6972,1677753.0004,82,1.17112,1075.12,2169,0.748875,0.507264,0,34.2002,7,5,0.249178,193.437,4,2,1,0.153073750018,5.02429864166,1.95705622491,-0.276994152801,-0.575550607345,9.69618726375,51.4567256969,3.61855512512,204.6
866664.6972,1713581.03935,3738.40538883,886658.621851,866629.28298,1713703.52935,83,2.15171,3606.82,1454.87,0.292929,1.0341,0,34.9994,6.46471,5,0.176753,202.106,4,1,1,0.659963192089,5.59153342563,1.94756540691,-1.02707765298,0.03381420557,9.83205833193,42.1042786497,3.61855512512,204.6
864664.6972,1699753.0004,4000,1000000,864664.6972,1699753.0004,84,1.67925,1671.64,2288.75,0.261268,1.79113,0,34,6.4321,5,0.231051,193.611,4,1,1,0.468139602469,5.23913656276,1.95819475076,-1.10487454744,0.676662060633,9.66190378969,41.5702861545,3.61855512512,204.6
831855.229525146,1695877.14849929,2596.14166102,390042.482251,831818.123197,1695995.9382,85,0.597066,656.177,736.409,0.806192,0.106624,0,41,6,5,0.308627,197.854,2,1,1,-0.572777234669,4.77245356175,1.92629949683,-0.208619230961,-1.34693338847,10.8062484749,34.8726522961,3.61855512512,6.2
827664.6972,1669753.0004,4000,1000000,827664.6972,1669753.0004,86,0.865696,983.561,1219.65,0.654474,0.955793,0,24,6.55908,5,0.251017,202.117,2,1,1,-0.148462583318,4.97981327265,1.94273195187,-0.398074060433,-0.0447066479841,7.79795897113,43.6724640025,3.61855512512,6.2
876444.914749991,1701071.92115025,1830.08459683,199948.717283,876448.666878,1701073.2506,87,6.24529,12927.5,3143.96,0.12275,0.373322,0,40.5918,4,5,0.144382,188.997,4,1,1,1.29851329276,6.11984972883,1.96433095413,-1.55675159093,-0.777998346907,10.742338983,12.4,3.61855512512,204.6
841664.6972,1715753.0004,4000,1000000,841664.6972,1715753.0004,88,2.74192,3075.45,1762.33,1.40936,0.780877,0.131994,24,8.90999,5,0.380267,206.705,2,1,2,0.829993747012,5.52071048485,1.95235839501,0.361419002834,-0.232655105382,7.79795897113,94.3879368895,3.61855512512,6.2
843664.6972,1704753.0004,4000,1000000,843664.6972,1704753.0004,89,1.81519,2758.41,1944.79,0.672762,0.879337,0,34,6.09001,5,0.345722,201.09,2,1,2,0.530431106451,5.47171117365,1.95464829334,-0.373704997439,-0.124540576,9.66190378969,36.2104473256,3.61855512512,6.2
839664.6972,1681753.0004,4000,1000000,839664.6972,1681753.0004,90,1.08601,1178.77,1560.97,0.293973,1.89325,0,30.7676,9,5,0.176664,198.993,4,1,1,0.0811636735318,5.06988452232,1.94937876674,-1.02461485945,0.751908420392,9.0937097683,96.8,3.61855512512,204.6
833664.6972,1698753.0004,4000,1000000,833664.6972,1698753.0004,91,0.824664,1080.56,929.573,0.525577,1.82694,0,29.4951,6,5,0.294502,198.224,4,1,1,-0.200406812103,5.02680934439,1.93440235538,-0.584998432687,0.70328684416,8.86187829454,34.8726522961,3.61855512512,204.6
822664.6972,1684753.0004,4000,1000000,822664.6972,1684753.0004,92,0.813405,932.705,788.206,0.783905,0.356822,0,24,6,5,0.216835,204.774,2,1,1,-0.215296616477,4.95308990063,1.92876226065,-0.234788527817,-0.805308384804,7.79795897113,34.8726522961,3.61855512512,6.2
815664.6972,1672753.0004,4000,1000000,815664.6972,1672753.0004,93,0.804842,918.009,772.992,0.494664,0.708855,0,25.1331,7,5,0.229256,215.016,3,1,1,-0.226815519303,4.9450681202,1.92806462784,-0.63452625642,-0.316129490351,8.02658476444,51.4567256969,3.61855512512,48.4
836664.6972,1682753.0004,4000,1000000,836664.6972,1682753.0004,94,0.974762,1116.86,1255.42,0.286077,1.48144,0,24,6.42769,7.61879,0.269568,200.636,4,1,1,-0.0256930461311,5.04321448615,1.9435537017,-1.04339585619,0.434288354392,7.79795897113,41.4983870085,5.79852062027,204.6
868664.6972,1694873.25564949,3836.61037496,923943.916031,868638.583138,1694786.42251,95,2.95716,4164.12,3151.9,0.59991,1.25727,0,34,5.90732,5,0.112219,188.33,4,1,1,0.879719968769,5.65442074384,1.96437590935,-0.473737996405,0.242561016805,9.66190378969,33.5262797309,3.61855512512,204.6
844664.6972,1674182.6694,2366.2919891,175615.230343,844697.366606,1674164.05467,96,1.22489,1212.44,2415.62,0.436434,0.358189,0,24,6,5,0.194044,192.048,2,1,1,0.194839474499,5.08374980651,1.95930737776,-0.734045832157,-0.803022160977,7.79795897113,34.8726522961,3.61855512512,6.2
